date,totalCases,newCases,tests
03/11/2020,1,1,
03/12/2020,6,5,
03/13/2020,6,0,
03/14/2020,10,4,
03/15/2020,12,2,
03/16/2020,21,9,
03/17/2020,34,13,
03/18/2020,50,16,
03/19/2020,80,30,
03/20/2020,140,60,
03/21/2020,207,67,
03/22/2020,249,42,
03/23/2020,320,71,
03/24/2020,320,0,
03/25/2020,485,165,
03/26/2020,579,94,
03/27/2020,663,84,
03/28/2020,758,95,
03/29/2020,847,89,
03/30/2020,937,90,
03/31/2020,1073,136,
04/01/2020,1177,104,
04/02/2020,1358,181,
04/03/2020,1455,97,
04/04/2020,1638,183,
04/05/2020,1738,100,
04/06/2020,1915,177,
04/07/2020,2003,88,
04/08/2020,2260,257,
04/09/2020,2469,209,
04/10/2020,2642,173,
04/11/2020,2781,139,
04/12/2020,2942,161,37733
04/13/2020,3087,145,
04/14/2020,3360,273,
04/15/2020,3624,264,
04/16/2020,3793,169,
04/17/2020,3974,181,
04/18/2020,4274,300,
04/19/2020,4512,238,
04/20/2020,4716,204,
04/21/2020,4894,178,
04/22/2020,5153,259,55389
04/23/2020,5434,281,55389
04/24/2020,5718,284,58957